,title,basesalary,bonus,LevelBucket,region
0,Product Manager,160000,9000,Entry,West
2,Product Manager,126000,0,Mid,West
5,Software Engineering Manager,157000,47000,Mid,West
9,Software Engineering Manager,192000,49000,Senior,West
10,Software Engineer,105000,9000,Associate,West
11,Software Engineering Manager,147000,101633000,Associate,West
13,Software Engineer,126000,30000,Senior,West
15,Software Engineering Manager,148000,67000,Senior,West
16,Software Engineer,144000,0,Mid,West
18,Software Engineer,226000,12000,Mid,West
20,Software Engineering Manager,237000,0,Senior,West
21,Software Engineer,201000,50000,Mid,West
28,Software Engineer,83000,22000,Mid,West
32,Software Engineering Manager,157000,98000,Mid,West
33,Software Engineer,95000,0,Senior,West
34,Software Engineer,178000,0,Mid,West
38,Product Manager,143000,18000,Senior,West
40,Software Engineer,90000,20000,Associate,West
41,Product Manager,136000,13000,Mid,West
43,Software Engineer,102000,45000,Mid,West
45,Software Engineering Manager,168000,0,Senior,West
46,Software Engineer,231000,0,Mid,West
47,Software Engineer,96000,11000,Associate,West
48,Software Engineer,115000,1000,Senior,
53,Product Manager,93000,26000,Associate,West
54,Software Engineer,194000,16026000,Mid,West
57,Product Manager,143000,40000,Senior,West
58,Software Engineer,242000,125000,Senior,West
60,Software Engineer,201000,138000,Senior,West
61,Software Engineer,160000,0,Entry,West
62,Software Engineer,170000,22000,Senior,West
63,Software Engineering Manager,132000,0,Mid,West
64,Software Engineer,235000,52000,Senior,West
71,Software Engineer,189000,14000,Entry,West
72,Product Manager,138000,1000,Senior,West
73,Product Manager,219000,0,Senior,West
76,Software Engineer,70000,14000,Associate,West
78,Product Manager,101000,0,Mid,West
82,Product Manager,86000,0,Associate,West
83,Software Engineering Manager,108000,0,Associate,West
84,Software Engineer,161000,0,Mid,West
85,Software Engineer,76000,0,Associate,West
87,Software Engineer,131000,44000,Entry,West
88,Software Engineer,99000,59000,Associate,West
90,Software Engineer,117000,0,Mid,West
91,Software Engineer,232000,25000,Senior,West
92,Software Engineer,100000,16000,Associate,West
93,Software Engineer,217000,15000,Mid,West
95,Software Engineer,197000,21000,Mid,West
97,Software Engineer,137000,0,Mid,West
98,Software Engineer,104000,30000,Associate,West
100,Software Engineer,216000,33000,Senior,West
102,Software Engineer,145000,38000,Mid,West
106,Product Manager,124000,0,Mid,West
107,Software Engineer,89000,0,Associate,West
108,Software Engineer,256000,15000,Senior,West
109,Software Engineer,165000,35000,Senior,West
113,Product Manager,236000,50000,Associate,West
114,Software Engineer,194000,91000,Associate,West
118,Software Engineer,140000,9000,Associate,West
119,Software Engineer,89000,55000,Mid,West
120,Software Engineer,129000,47000,Entry,West
124,Software Engineer,178000,28000,Mid,West
127,Software Engineer,218000,57000,Associate,West
129,Software Engineering Manager,136000,10000,Mid,West
132,Product Manager,221000,22000,Associate,West
135,Software Engineer,121000,0,Mid,
136,Software Engineer,158000,27000,Entry,West
137,Software Engineering Manager,244000,44000,Mid,West
138,Software Engineer,95000,11000,Entry,West
141,Software Engineer,142000,28000,Entry,West
143,Product Manager,119000,0,Associate,West
144,Software Engineer,128000,48000,Associate,West
146,Software Engineer,140000,22000,Associate,West
149,Software Engineering Manager,204000,0,Mid,West
151,Software Engineer,264000,0,Associate,West
152,Software Engineer,67000,5000,Associate,West
157,Software Engineer,133000,0,Associate,West
158,Software Engineer,188000,15000,Associate,West
160,Product Manager,128000,20000,Associate,West
161,Software Engineer,134000,6000,Associate,West
166,Software Engineer,112000,22000,Mid,West
167,Software Engineer,157000,24000,Entry,West
169,Product Manager,163000,20000,Senior,West
170,Software Engineer,240000,27000,Mid,West
171,Software Engineer,179000,24000,Senior,West
177,Software Engineer,108000,14000,Associate,West
178,Software Engineering Manager,158000,304000,Senior,West
180,Product Manager,87000,1000,Mid,
181,Software Engineer,81000,0,Senior,West
188,Software Engineer,75000,6000,Entry,East
189,Software Engineering Manager,156000,0,Senior,West
191,Software Engineer,195000,17764000,Associate,East
192,Software Engineer,91000,33000,Associate,West
